,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
3781,D983mWf0EZet6f5rghzgsg,"""Big Carrot Wholistic Dispensary""",The Danforth,"""348 Danforth Avenue""",Toronto,ON,M4K 1N8,43.6775104,-79.3527195,2.0,8,1,Specialty Food;Food;Health Markets;Shopping
3782,lOgybcjtSymXvJWvSZk1vw,"""Jack Astor's Bar & Grill""",,"""1060 Don Mills Road""",Toronto,ON,M3C 0H8,43.7345959,-79.3438572,3.0,77,1,Sports Bars;Bars;Restaurants;Burgers;Nightlife;Canadian (New);American (Traditional)
3784,X74dy7wrgY9R98kfdsKDJQ,"""The Rooster Rotisserie and Grill""",Dovercourt,"""942 Bloor Street W""",Toronto,ON,M6H 1L4,43.6614961,-79.4279355,3.5,62,1,Barbeque;Portuguese;Restaurants
3786,2PCz_uVX7GOXtGHNXAPXhw,"""Sugar Marmalade""",Milliken,"""3278 Midland Avenue, Unit D106""",Toronto,ON,M1V 0C9,43.80492921,-79.288043417,3.0,32,1,Juice Bars & Smoothies;Desserts;Taiwanese;Food;Restaurants
3788,xHcvLAm4_nf2xaibs0Qhng,"""Pancho's Bakery Little Italy""",Bickford Park,"""658 College Street""",Toronto,ON,M6G 1B8,43.6551913,-79.4164145,4.0,12,1,Food;Bakeries
3795,xOCXhkAehS967OagPxEiDw,"""Ali Baba's""",Downtown Core,"""229 Church Street""",Toronto,ON,M5B 1E1,43.6564327,-79.3768916,3.0,23,1,Middle Eastern;Restaurants
3797,dCFHF5C0Rv_28VY2NUutug,"""El Takito""",,"""1736 Jane Street""",Toronto,ON,M9N 2S5,43.7044024518,-79.5043403816,4.5,3,1,Restaurants;Mexican
3799,C7bK6Sd0LcvH7SOAjQu3LA,"""Roma1090""",Dovercourt,"""1090 Bloor Street W""",Toronto,ON,M6H,43.6601487,-79.4341132,3.5,30,1,Sandwiches;Italian;Mediterranean;Restaurants;Pizza
3800,UchCwo9USi1ZBSI3RTgy7w,"""Buddha Chay""",,"""1784 Jane Street""",Toronto,ON,M9N 2T2,43.7061677,-79.5051206,4.5,35,1,Vegetarian;Vietnamese;Vegan;Restaurants
3806,6NffysI3E7L4kr71dxInIg,"""Big Smoke Burger""",,"""799 York Mills Road""",Toronto,ON,M3B 1X6,43.7527891,-79.3592021,3.0,39,1,Burgers;Restaurants;Canadian (New);Poutineries;Fast Food
3807,OT5Zx-54Y_sPoMOWEDidsw,"""Dooney's Cafe""",Christie Pits,"""866 Bloor Street W""",Toronto,ON,M6G 1M5,43.6622986091,-79.4247616025,3.5,27,1,Wine Bars;Bars;Nightlife;Cafes;Diners;Restaurants
3809,tySM6WgaryrSQ0nwwz6oOQ,"""Shish""",Leslieville,"""1225 Queen Street E""",Toronto,ON,M4M 1L6,43.6629851,-79.3304991,3.5,8,1,Restaurants;Mediterranean;Lebanese;Middle Eastern;Halal
3811,AsXzV6QKqO3IjekPavLpmg,"""Wendy's""",Milliken,"""4228 Midland Ave""",Toronto,ON,M1V 5G9,43.8254959377,-79.2977137864,2.0,5,1,Restaurants;Burgers;Fast Food
3812,GEw0gKy93o1Jje2WxApL9g,"""Harvey's Restaurants""",,"""3120 Dufferin St""",Toronto,ON,M6A 2S6,43.7153479,-79.4553539,4.5,7,1,Fast Food;American (Traditional);Restaurants;Burgers
3815,2vBo1wWJckBnGOHhxt9ecg,"""St. Louis Bar & Grill""",City Place,"""313 Bremner Blvd""",Toronto,ON,M5V 3V3,43.6404227864,-79.3904712229,2.5,66,1,Nightlife;American (Traditional);Bars;Restaurants;Sports Bars;Chicken Wings
3818,wPfnOnzz5lJU_3dGd_b_-Q,"""Starbucks""",Downtown Core,"""525 University Avenue""",Toronto,ON,M5G,43.656254,-79.3881984,4.5,9,1,Coffee & Tea;Food
3823,nVZDhTajHv7RozMXxoqpFg,"""Tokyo Sushi""",Etobicoke,"""751 The Queensway""",Toronto,ON,M8Z 1M8,43.6259718,-79.5035631,3.5,28,1,Sushi Bars;Restaurants
3825,GQSmxqRi_s9U9qd5gHLKAw,"""Duke's Refresher + Bar""",Downtown Core,"""382 Yonge Street, Unit 8""",Toronto,ON,M5B 1S8,43.6590440287,-79.3830707247,4.0,138,1,Beer Bar;Restaurants;Breakfast & Brunch;Sports Bars;Sandwiches;Burgers;American (Traditional);Bars;Nightlife
3828,baUPq-DpNPAsj0BqQRwjZg,"""Wing Machine""",Alexandra Park,"""404 Queen St W""",Toronto,ON,M5V 2A6,43.6486781,-79.3972345,3.5,3,1,Restaurants;Pizza
3831,boHc9QLqfh2dDmAS9lVeeg,"""Timothy's World Coffee""",,"""Centerpoint Mall, 6464 Yonge Street""",Toronto,ON,M2M 3X7,43.7957861663,-79.4218826294,3.5,3,1,Coffee & Tea;Restaurants;Cafes;Food
3833,4iY-JA8swpJcLMGFit_G-g,"""KFC""",Downtown Core,"""444 Yonge Street""",Toronto,ON,M5B 2H4,43.6610059,-79.383213,1.5,7,1,Chicken Wings;Fast Food;Restaurants
3834,TFtObYQyEnZ0kpPWOn7YDw,"""Pizzeria Bosco""",Downtown Core,"""Toronto Eaton Centre, 14 Queen Street W""",Toronto,ON,M5H 3X4,43.6570927606,-79.3875997169,4.5,3,1,Restaurants;Pizza
3835,IflW1yOEcNQrB2SWxHKoSg,"""The Poet Cafe""",Corktown,"""173 King Street E""",Toronto,ON,M5A 1J4,43.6504042,-79.3711469,4.0,16,1,Restaurants;Cafes;Tapas/Small Plates;Coffee & Tea;Food
3836,9MFcLXNi4pbqHsdrH9giZw,"""LaPaz Batchoy Toronto""",,"""360 Wilson Avenue""",Toronto,ON,M3H 1S9,43.7364893,-79.4383823,1.0,3,1,Fast Food;Soup;Filipino;Restaurants
3837,I9lZ1zjPLiCYSfRIwfFupQ,"""Z-Teca""",Yonge and Eglinton,"""130 King Street W""",Toronto,ON,L3Y 4V9,43.7089400787,-79.4087864181,2.5,3,1,Mexican;Restaurants
3841,D7nZVc4tm6_-6X6dYBiaHg,"""Starbucks""",Etobicoke,"""374 Evans Avenue""",Toronto,ON,M8Z 1K6,43.6161904,-79.5257145,3.0,10,1,Coffee & Tea;Food
3842,CgJddyi3Han1Hu78D0sYsA,"""Koji Japanese Restaurant""",The Junction,"""1553 Dupont Street""",Toronto,ON,M6P 3S5,43.6653247111,-79.4528076801,4.5,27,1,Japanese;Sushi Bars;Restaurants
3846,Ymy91k8r312xvxzC42b5IQ,"""Top Gun Steak & Burger""",Kensington Market,"""251 Augusta Avenue""",Toronto,ON,M5T 2L8,43.6550126,-79.4021026,4.0,91,1,American (Traditional);Steakhouses;Halal;Restaurants;Comfort Food;Burgers;Sandwiches
3852,cniVq1lxQood4a5XnTsvhw,"""Saigon Bangkok Restaurant""",,"""2428 St Clair Avenue W""",Toronto,ON,M6N 1L2,43.669451,-79.4825819,3.5,21,1,Vietnamese;Restaurants;Thai
3860,f-gbagOKzs-72s49cF3qRg,"""Eggsmart""",Etobicoke,"""2947 Bloor St W""",Toronto,ON,M8X 1B8,43.6478839843,-79.5077255825,4.0,14,1,Restaurants;Breakfast & Brunch;Diners
3865,OaqbVUL9bYMycpQNYfHBng,"""Hong Kong Island Bakery""",Chinatown,"""336 Spadina Avenue""",Toronto,ON,M5T 2G2,43.6539566,-79.398863,4.0,36,1,Bakeries;Food
3870,hN6-jUFRghh-WUBLqcfjVw,"""Good Rebel""",Brockton Village,"""1591 Dundas Street W""",Toronto,ON,M6K 1T9,43.6496315,-79.4346993,5.0,3,1,Food;Specialty Food;Health Markets;Grocery
3871,ym4zQit5BHrOk53lk8dFJg,"""Bar Ape""",,"""283 Rushton Rd""",Toronto,ON,M6C 2X6,43.6817191517,-79.4277874113,5.0,31,1,Food;Ice Cream & Frozen Yogurt
3872,thzyiQZb16zD8wMliaEfRQ,"""Sushi Supreme""",Mount Pleasant and Davisville,"""1995 Yonge Street""",Toronto,ON,M4S 1Z8,43.7006166,-79.3967618,4.0,98,1,Restaurants;Sushi Bars
3880,PFLnr1C9K9FHQc-GOvtnHQ,"""Village Juicery""",Palmerston,"""540 College Street""",Toronto,ON,M6G 1A6,43.6558882,-79.4112497,5.0,18,1,Salad;Live/Raw Food;Specialty Food;Restaurants;Health Markets;Food;Juice Bars & Smoothies;Organic Stores
3881,U2m1WfXenwHrYxNSafBUOQ,"""Smoke's Poutinerie""",The Annex,"""490 Bloor Street W""",Toronto,ON,M5S 1X8,43.6656097,-79.4098298,3.0,61,1,American (Traditional);Vegetarian;Restaurants
3883,htIX-nFk6xow7UQuE4OzqQ,"""Lee Nam Jang""",Willowdale,"""4846 Yonge Street""",Toronto,ON,M2N 6B1,43.7624751,-79.4115426,3.5,82,1,Restaurants;Korean
3884,308f__iS3Qw_qhnda6IVPw,"""Hiro Sushi Restaurant""",Corktown,"""171 King Street E""",Toronto,ON,M5A 1J4,43.6505112592,-79.3714514814,3.5,58,1,Sushi Bars;Japanese;Event Planning & Services;Caterers;Restaurants
3889,v0a2G9zBDM3hVprzSy39Kw,"""Owl of Minerva""",Koreatown,"""700 Bloor St W""",Toronto,ON,M6G,43.663956,-79.41755,3.5,82,1,Restaurants;Korean
3891,-NNElpPRHRYUD0YHgXtgyQ,"""Teta's Mediterranean Kitchen & Bakery""",,"""19B-4610 Dufferin Street""",Toronto,ON,M3H 5S4,43.7728553552,-79.4679629803,5.0,38,1,Arabian;Mediterranean;Bakeries;Middle Eastern;Restaurants;Ethnic Food;Food;Specialty Food
3893,vAcwjwtHupHOc7f4XLH8Kw,"""Snap Delivery""",,"""4205 Keele Street, Unit 11""",Toronto,ON,M3K 3T8,43.7713291221,-79.4993519483,3.5,5,1,Restaurants;Food;Food Delivery Services;Shopping
3896,29zc-Uw40X7LnH8jBMSWuw,"""Nosso Talho""",Little Portugal,"""1326 Dundas St W""",Toronto,ON,M6J 1Y1,43.649502,-79.426403,2.5,8,1,Food;Specialty Food;Meat Shops
3899,0SNvAyFV7rFEjMCauknf-g,"""La Cocina De Dona Luz""",Wychwood,"""807 Saint Clair Avenue W""",Toronto,ON,M6C 1B9,43.6804967,-79.430542,4.0,11,1,Peruvian;Restaurants
3903,FxgLF1XdpaVZbfMwz8iMfA,"""LCBO - Gerrard and Pape""",Leslieville,"""932 Gerrard Street E""",Toronto,ON,M4M 1Z2,43.668117,-79.3410662,3.0,7,1,Food;Beer;Wine & Spirits
3906,L-3tkpZxJyqlECxt1okQDQ,"""Ed's Real Scoop""",Roncesvalles,"""189 Roncesvalles Avenue""",Toronto,ON,M6R 2L5,43.6449827,-79.4483867,4.5,34,1,Ice Cream & Frozen Yogurt;Food
3908,8T7e1AhKb81miN7urrsW4Q,"""Oak Island""",Ossington Strip,"""121 Ossington Avenue""",Toronto,ON,M6J 2Z2,43.6467774,-79.4196403,5.0,4,1,Specialty Food;Nightlife;Bars;Food
3909,xVXyrTWbG8U3szze-aA7eg,"""St. Louis Bar & Grill""",Etobicoke,"""557 Dixon Rd, Unit 130""",Toronto,ON,M9W 1H7,43.6909549,-79.5733562,2.5,24,1,Chicken Wings;American (Traditional);Nightlife;Sports Bars;Bars;Restaurants
3910,BUcTdN-rNE8urCCQuxSOQA,"""Mother's Dumplings""",Chinatown,"""421 Spadina Avenue""",Toronto,ON,M5T 2A8,43.6571184,-79.3993309,3.5,430,1,Chinese;Restaurants
3911,CtE5hqCQ-HKHwxAKxKH0gg,"""Indian Crown""",,"""4750 Yonge St, Unit 144""",Toronto,ON,M2N 5M6,43.7603425738,-79.4119870991,4.0,13,1,Indian;Restaurants
3913,85Q-pyjmbnUn7f5OJTe6kg,"""Blossom Pure Organic""",Etobicoke,"""100 The E Mall, Unit 15""",Toronto,ON,M8Z 5X2,43.6195906,-79.550246,4.0,7,1,Specialty Food;Meat Shops;Halal;Restaurants;Ethnic Food;Organic Stores;Butcher;Food
3921,JE8FVuAJgoPVwou6NzYe3g,"""Starbucks""",Entertainment District,"""338 Adelaide Street W, Unit 2""",Toronto,ON,M5V,43.6473464,-79.392644,5.0,4,1,Food;Coffee & Tea;Desserts;Bagels
3924,4iUHIrAtlRx4bEC-91BncA,"""Sticks N Scones""",,"""5555 Eglinton Avenue W, Unit 109""",Toronto,ON,M9C 5M1,43.6489527,-79.6043251,5.0,6,1,Desserts;Bakeries;Food
3925,Vl8PYZKd26DHGSi5rNo5SQ,"""Starbucks""",Yorkville,"""110 Bloor St W""",Toronto,ON,M5S 2W7,43.6694469,-79.3922485,4.0,4,1,Food;Coffee & Tea;Cafes;Restaurants
3926,Uq-GOs9_IqweUsB5MdII9w,"""Emma's Country Kitchen""",,"""810 Saint Clair Avenue W""",Toronto,ON,M6C 1B6,43.681016,-79.4303768,4.0,297,1,Bakeries;Breakfast & Brunch;Comfort Food;Restaurants;Food
3929,RPhxaNrdOMTO4RhEPml2_Q,"""Fresh Start Coffee Co.""",Downtown Core,"""655 Bay St""",Toronto,ON,M5G 2K4,43.6577732,-79.3841429,4.0,13,1,Food;Coffee & Tea
3931,DiZPJEv35VOjdtJgU9gJTQ,"""Phipps Bakery Cafe""",,"""420 Eglinton Avenue W""",Toronto,ON,M5N 1A2,43.7041964,-79.4111299,3.5,26,1,Shopping;Food;Bakeries
3934,iBt37-7t5GP2ZRT81yHgew,"""Shakey's Sports Pub""",Swansea,"""2255 Bloor Street W""",Toronto,ON,M6S 1N8,43.6506625,-79.4776332,3.5,24,1,Bars;Canadian (New);Pubs;Sports Bars;Nightlife;Restaurants
3937,tMMEhYse_vbL-hBaI9pIug,"""St. Louis Bar & Grill""",Greektown,"""561 Danforth Ave""",Toronto,ON,M4K 1P9,43.6782674,-79.3470562,2.5,23,1,Nightlife;Restaurants;Bars;Chicken Wings;Sports Bars;American (Traditional)
3939,0a2O150ytxrDjDzXNfRWkA,"""Miku Toronto""",Harbourfront,"""10 Bay Street, Unit 105""",Toronto,ON,M5J 2R8,43.6412346,-79.3773697,4.0,455,1,Restaurants;Japanese;Seafood;Sushi Bars
3944,-76didnxGiiMO80BjSpYsQ,"""Green Beanery""",,"""565 Bloor Street W""",Toronto,ON,M5S 1Y6,43.6650299,-79.4109308,3.0,140,1,Coffee & Tea;Food
3947,Cbvx1IxPniwo_Ybk4CdIBQ,"""Tao Tea Leaf""",Yorkville,"""934 Yonge St""",Toronto,ON,M4W 2J2,43.6744781,-79.3886914,4.5,9,1,Tea Rooms;Food;Restaurants;Chinese
3948,JluBdtULf0uQADj9xq5YvA,"""Global Cheese""",Kensington Market,"""76 Kensington Avenue""",Toronto,ON,M5T 2K1,43.6545541,-79.4009272,4.0,72,1,Event Planning & Services;Food;Cheese Shops;Caterers;Specialty Food
3949,IcyKofkD1rN-yY_RT4pxAg,"""Hero Certified Burgers - Liberty Village""",Liberty Village,"""171 East Liberty St., Unit 106""",Toronto,ON,M6K 3P6,43.6383389,-79.4185727,2.0,18,1,Burgers;Restaurants
3951,z9SkYzD6RkmsdDw1qq3uXA,"""Pizza Park""",Koreatown,"""733 Bloor Street W""",Toronto,ON,M6G,43.6633496,-79.4185625,3.0,21,1,Pizza;Restaurants
3953,ClnWjgG9IMP7EPEu9lPsTg,"""The Dirty Bird Chicken + Waffles""",,"""527 Bloor Street W""",Toronto,ON,M5S 1Y5,43.6653215,-79.4093198,3.5,37,1,Waffles;Chicken Shop;Restaurants;American (Traditional)
3956,_kgk_9chyFpTWbSbPoY8YA,"""Ahzimae Zipbap""",,"""6068 Yonge Street""",Toronto,ON,M2M 3W6,43.7905385,-79.4182458,3.5,7,1,Restaurants;Korean
3960,Fihzq3H6od0AP2WFLCE5yQ,"""Frascati""",Downtown Core,"""13 Elm Street""",Toronto,ON,M5G 1H1,43.657548,-79.3823435,3.5,19,1,Italian;Restaurants;Canadian (New)
3962,ryyptYnhb8n94NnEF_MRnQ,"""Ryoji Ramen & Izakaya""",Bickford Park,"""690 College Street""",Toronto,ON,M6G 1C1,43.6554188,-79.4177747,3.5,145,1,Japanese;Ramen;Restaurants;Tapas Bars;Tapas/Small Plates;Sushi Bars
3964,oMNG8h5O2xFx-IqRjtcY3Q,"""Village Pie""",Riverdale,"""337 Danforth Avenue""",Toronto,ON,M4K 1N7,43.6771258,-79.3532848,4.0,6,1,Restaurants;Greek
3967,x8UvTkKx9WApRsMxQ3ZPtQ,"""Crown & Dragon Pub""",Yorkville,"""890 Yonge Street""",Toronto,ON,M4W 3P4,43.673644051,-79.3882917427,3.5,128,1,Nightlife;Bars;Pubs;Restaurants;Chicken Wings
3971,ehUN_XAWr1ePov0jtgv0Lw,"""Snakes & Lattes College""",Little Italy,"""489 College Street""",Toronto,ON,M6G 1A5,43.6558739,-79.4091916,3.5,95,1,Cafes;Tabletop Games;Restaurants;Pubs;Shopping;Nightlife;Bars;Gastropubs
3978,LvwtWoCsw2uvmZpHeh3VeQ,"""Shoppers Drug Mart""",Entertainment District,"""388 King Street W""",Toronto,ON,M5V 1K2,43.6463105,-79.3927543,3.0,20,1,Grocery;Health & Medical;Food;Pharmacy;Beauty & Spas;Shopping;Cosmetics & Beauty Supply;Drugstores
3982,gloqawubcoXctPYWva6GCw,"""Taste of Mediterranean""",Downtown Core,"""College Park, 444 Yonge Street""",Toronto,ON,M5G,43.6600690627,-79.3839020571,3.5,7,1,Mediterranean;Restaurants
3986,riaVS_R0Tu2GF7EJEEj-hg,"""7-Eleven""",Niagara,"""873 Queen Street W""",Toronto,ON,M6J 1G4,43.6454990887,-79.4109239196,2.0,5,1,Food;Gas Stations;Gas Stations;Convenience Stores;Automotive
3987,xSs_IQQ-cjDkOsGcpGWtZQ,"""Starbucks""",Financial District,"""66 Wellington Street West""",Toronto,ON,M5J 2Z9,43.6473609,-79.3811231,4.0,8,1,Coffee & Tea;Food
3988,X9ftU-exKhTMOjtr3B52rw,"""Jim Chai Kee Wonton Noodle""",Milliken,"""3700 Midland Ave, Unit 109""",Toronto,ON,M1V 0B3,43.8145956,-79.2922628,4.0,62,1,Restaurants;Soup;Chinese
3990,6FQalY7_2y3yMikLsEsHgA,"""Burger Factory""",Queen Street West,"""265 Queen Street W""",Toronto,ON,M5V 1Z4,43.6501036,-79.3891759,2.5,8,1,Halal;Fast Food;Restaurants;Burgers
3999,7F0ccIsqZSaqi1r7SB4nfQ,"""Tio's Urban Mexican""",,"""2584 Yonge Street""",Toronto,ON,M4P 2J3,43.7143095,-79.400103,3.5,29,1,Caterers;Food Delivery Services;Event Planning & Services;Mexican;Food;Restaurants
4001,3a7Qby_IX7sU7O6ZsQZeOQ,"""RH Courtyard Cafe""",,"""3401 Dufferin Street""",Toronto,ON,M6A 2T9,43.7247752,-79.4553801,3.0,10,1,Shopping;Cafes;Mediterranean;American (Traditional);Furniture Stores;Restaurants;Home & Garden;Canadian (New)
4002,gG4aW7XLL859HnOLwydrDw,"""Pizzaville""",,"""3308 Yonge Street""",Toronto,ON,M4N 2M4,43.7309182,-79.4037671,2.5,3,1,Restaurants;Pizza
4003,KxcQs2Lkm3FJiltVWXOz_Q,"""Hashi Izakaya""",Willowdale,"""5582 Yonge Street""",Toronto,ON,M2N 5S2,43.779256,-79.415713,3.5,41,1,Japanese;Nightlife;Korean;Restaurants;Tapas Bars;Bars
4012,GxzEsd-81hVP6C2h6wMvBw,"""Big Beef Bowl""",Willowdale,"""1 Byng Avenue""",Toronto,ON,M2N 0E6,43.776606,-79.4147159,3.5,104,1,Chinese;Restaurants
4014,OAR-e_6VPGAxwWnsDNtdDw,"""Starbucks""",Bloor-West Village,"""2210 Bloor St W""",Toronto,ON,M6S 1N4,43.6513959,-79.4759902,3.5,7,1,Coffee & Tea;Food
4015,JK_DiDwbl7HX5OhCAh3h4g,"""Cafe Diplomatico Restaurant & Pizzeria""",Little Italy,"""594 College St""",Toronto,ON,M6G 1B3,43.655255,-79.413732,3.0,154,1,Nightlife;Caterers;Italian;Restaurants;Bars;Event Planning & Services;Breakfast & Brunch;Pizza
4020,aRqxT28Tdz2aDiZ7Vkyejw,"""White Brick Kitchen""",Koreatown,"""641 Bloor Street W""",Toronto,ON,M6G 1L1,43.6641761664,-79.4149611996,4.0,187,1,Comfort Food;Restaurants
4023,imDp2s4TANwV39FfYXTAEA,"""Bar Sybanne""",Ossington Strip,"""229 Ossington Avenue""",Toronto,ON,M6J 2Z8,43.6491049,-79.4205504,5.0,21,1,Middle Eastern;Moroccan;Mediterranean;Restaurants;Nightlife;Bars
4024,U-GOTlu6eiqjQTGkpmskeQ,"""Panago Pizza""",,"""133 Bremner Boulevard""",Toronto,ON,M5J 3A7,43.6423787644,-79.3835164417,3.5,31,1,Pizza;Restaurants
4025,O1TvPrgkK2bUo5O5aSZ7lw,"""Rol San""",Chinatown,"""323 Spadina Avenue""",Toronto,ON,M5T 2E9,43.6543527997,-79.3983133882,3.5,539,1,Dim Sum;Chinese;Restaurants
4026,vgaOy7n8BQFkPb0wzNX9eA,"""Lucky Clover Sports Pub""",Entertainment District,"""17 Lower Simcoe""",Toronto,ON,M5V 3L9,43.641248,-79.3832338,2.0,34,1,Restaurants;Irish;Nightlife;Bars;Sports Bars
4028,YIez_A3WOt9J2SXN7OMa2Q,"""Allwyn's Bakery""",,"""81 Underhill Drive""",Toronto,ON,M3A 1K8,43.7459284,-79.3246225,4.0,92,1,Food;Bakeries;Caribbean;Restaurants
4031,2NmeO8fhs2jRr_WGZPP3kQ,"""The Second Cup""",Mount Pleasant and Davisville,"""1881 Yonge St""",Toronto,ON,M4S 3C4,43.697732,-79.3961493,1.5,3,1,Coffee & Tea;Food
4032,bJm67R1YQUNius2OjEQ5rA,"""McDonald's""",Alexandra Park,"""344 Bathurst St""",Toronto,ON,M5T 2S3,43.6522854,-79.4060269,2.5,12,1,Fast Food;Restaurants;Burgers
4034,c4sRmOkb3W3KgCkEffI6tA,"""Ground Level Cafe""",Parkdale,"""1496 Queen St W""",Toronto,ON,M6K 1M4,43.640623,-79.4378519,3.0,18,1,Coffee & Tea;Food
4035,blQfk3qdp2WaMXEesW8hDg,"""The Bagel House""",,"""450 Eglinton Avenue W""",Toronto,ON,M5N 1A5,43.7039194,-79.4118118,2.5,4,1,Bagels;Food
4036,wtgrvqXDjAFF4LvJW1X-1Q,"""Watts Restaurant""",Scarborough,"""30 Eglinton Sq""",Toronto,ON,M1L 4T2,43.724114,-79.3007796,3.0,11,1,British;Italian;Restaurants
4037,Xk6WxhdgJFCrp6vDiHAjsg,"""New Spiceland Super Market""",Scarborough,"""6065 Steeles Avenue E""",Toronto,ON,M1V 5P6,43.8371148,-79.2489079,3.5,6,1,Imported Food;Specialty Food;Convenience Stores;Ethnic Food;Food;Grocery
4046,EZma0I9hSWrCf71YRXSJBA,"""Cafe Nuńa""",Trinity Bellwoods,"""626 Queen Street W""",Toronto,ON,M6J 1E4,43.6470683,-79.4056894,4.5,6,1,Restaurants;Food;Coffee & Tea;Breakfast & Brunch;Bars;Nightlife;Beer Bar
4050,SykyXR8BFiBRH9ON-Kj9kg,"""Shanghai 360""",Financial District,"""120 Adelaide Street  W""",Toronto,ON,M5H 1T1,43.6499721,-79.3832232,4.5,5,1,Restaurants;Chinese;Noodles;Fast Food;Food Court;Soup
4051,A-QlS6_vpJI_Yi67AyNJLw,"""Schmaltz Appetizing""",The Annex,"""414 Dupont Street""",Toronto,ON,M5R 1V9,43.6738449,-79.4117562,4.0,44,1,Restaurants;Delis
4054,HakulcKdPE-RaWCVF1GUKQ,"""Aberdeen Delicatessen""",Milliken,"""3250 Midland Avenue""",Toronto,ON,M1V 4A1,43.8039202,-79.2863821,2.0,24,1,Restaurants;Food;Chinese;Desserts
4055,eW6_05mOgBaqX4OD2oWC_g,"""Merryberry""",Cabbagetown,"""559 Parliament St""",Toronto,ON,M4X 1P7,43.6665342,-79.3688511,4.5,55,1,Bistros;Canadian (New);Restaurants
4056,a3nywjjHRweFT-4rOap12g,"""Motimahal""",,"""1422 Gerrard St E""",Toronto,ON,M4L 1Z6,43.6723919,-79.3226904,3.5,73,1,Restaurants;Indian
4057,pWy-sZB1s_-ypb8qydreLQ,"""Churrasco Portugril""",,"""1733 Eglinton Avenue E""",Toronto,ON,M4H 1J8,43.7255574,-79.312667,3.0,33,1,Restaurants;Portuguese
4058,JqCPbQ02W0Jbxrp6X94KQA,"""Cantanhede O Bairradino""",Wallace Emerson,"""662 Lansdowne Avenue""",Toronto,ON,M6H 3Y8,43.6625541,-79.4449107,4.0,27,1,Restaurants;Portuguese
4060,1e6FzPXVxOOrMfgplBDEJg,"""Kathy's Corner""",Downtown Core,"""139 Dundas Street E""",Toronto,ON,M5B 2N6,43.6566562,-79.3757629,4.0,17,1,Canadian (New);Sandwiches;Restaurants
4062,SVv0PeX-s_XMH1LxUrUL4w,"""Quiznos Sub""",Financial District,"""100 Wellington St""",Toronto,ON,M5K 1B1,43.64678,-79.382225,1.5,3,1,Restaurants;Sandwiches;Fast Food
4066,AYTlIG4ys4UozaZi_q4L5w,"""70 Down""",Yorkville,"""70 Yorkville Avenue""",Toronto,ON,M5R 1B9,43.6713528,-79.3909664,2.5,19,1,Cocktail Bars;Tapas/Small Plates;Mediterranean;Restaurants;Bars;Nightlife
4069,9XM4MDo4RjpWQsjZkVcBOA,"""Grasshopper Restaurant""",The Junction,"""3080 Dundas Street W""",Toronto,ON,M6P 1Z8,43.6656129465,-79.4724570215,4.0,19,1,Restaurants;Vegan;Vegetarian;Salad
4070,rCyGqyIx88YTO3a_CLN5Ag,"""My Place: A Canadian Pub""",Swansea,"""2448 Bloor Street W""",Toronto,ON,M6S 1R2,43.6489738,-79.4854812,3.0,10,1,Gastropubs;Restaurants
4074,AWDUtieWMiEY6QDyTC-VYg,"""Crumbles Bakery and Deli""",The Danforth,"""Main Street S Danforth""",Toronto,ON,,43.6881561,-79.3018044,2.5,3,1,Food;Bakeries;German;Restaurants
4075,YFFQuzPhELjwkbVe2SXGEw,"""Timothy's""",The Danforth,"""320 Danforth Avenue""",Toronto,ON,M4K 1N8,43.6774806,-79.3531845,3.0,13,1,Coffee & Tea;Food
4078,rxr0kjcVwX22QI2Hq5iA4w,"""Grappa Restaurant""",Etobicoke,"""690 The Queensway""",Toronto,ON,M8Y 1K8,43.627036,-79.499418,3.5,20,1,Italian;Restaurants
4084,iYVHx6Yy1Ut8JjLY40eUyg,"""Patricia's Cake Creations""",Etobicoke,"""4130 Dundas Street W""",Toronto,ON,M8X 1X3,43.6619175,-79.5072725,5.0,10,1,Bakeries;Cafes;Food;Desserts;Restaurants
4086,hWLdQFCBxCMDR7KKMp_OQQ,"""Subway""",Downtown Core,"""24 Richmond Street E, Unit 113""",Toronto,ON,M5C 1M5,43.6520027,-79.3781534,2.5,3,1,Restaurants;Fast Food;Sandwiches
4087,QhAmKLX_0AgQe5HLxode9Q,"""Nakamori""",Scarborough,"""2803 Eglinton Avenue E""",Toronto,ON,M1J 2E1,43.737224,-79.245165,4.5,48,1,International;Asian Fusion;Restaurants;Sushi Bars;Japanese
4094,5RcSvs83ksJzQUHvMDMMmw,"""Diyijia""",Downtown Core,"""512 Yonge Street""",Toronto,ON,M4Y 1X9,43.6634716,-79.3841315,3.5,18,1,Restaurants;Chicken Shop
4096,Kal1hFMTEzdXYpa5MNzUPw,"""SPiN - Toronto""",,"""461 King Street W""",Toronto,ON,M5V 1K4,43.6447886395,-79.3963426352,4.0,108,1,Restaurants;Tapas/Small Plates;Nightlife;Social Clubs;Bars;Arts & Entertainment
4097,ibNxVcSE7peefvDUGEFvzQ,"""Cider House""",Roncesvalles,"""391 Roncesvalles Avenue""",Toronto,ON,M6R 2N1,43.6507396534,-79.4505900824,3.5,27,1,Food;Bars;Restaurants;Cideries;Pubs;Nightlife
4103,Chgj7xcjgzexBZNGATfuyQ,"""Jugo Juice""",Downtown Core,"""220 Yonge St""",Toronto,ON,M5B 2H1,43.6536106,-79.3800603,4.5,4,1,Juice Bars & Smoothies;Food
